127.0.0.1 - - [27/Jun/2021:10:17:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:25 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:25 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:25 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:25 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:25 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:26 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:26 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:26 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:26 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:26 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:33 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:33 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:33 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:37 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:45 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:45 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 10081
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:45 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:45 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 200 11855
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:46 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:46 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 42354
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:46 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 7340032
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:17:46 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:18:04 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:18:04 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:18:04 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:18:04 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:18:04 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 370
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:43:22 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:43:23 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:43:24 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:43:24 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:10:43:24 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:20 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:21 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:21 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:21 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:21 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:48 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:49 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:49 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:49 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:12:59:49 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:00:00 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:00:00 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:00:00 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:00:00 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:03:09 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:03:09 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:03:10 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:04:41 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:04:41 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:04:41 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:04:41 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [27/Jun/2021:13:04:41 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
