127.0.0.1 - - [28/Jun/2021:10:10:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:57 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/img/gundam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:10:58 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2021:10:11:02 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
